country,totalSmokingRate,maleSmokingRate,femaleSmokingRate,totalLungCancerRate
Kiribati,52.4,63.9,40.9,16.62
Nauru,47.5,43,52,
Greece,42.65,52.6,32.7,31.8
Serbia,41.65,43.6,39.7,37.09
Russia,40.9,59,22.8,26.7
Jordan,40.45,70.2,10.7,12.23
Indonesia,39.9,76.2,3.6,17.26
Bosnia and Herzegovina,38.6,47.2,30,29.12
Lebanon,38.2,45.4,31,16.96
Chile,38,40,36,14.56
Latvia,36.6,48.9,24.3,23.73
Croatia,36.45,39.4,33.5,33.85
Sierra Leone,36,60,12,1.59
Bulgaria,35.3,42.4,28.2,27.28
Cuba,35.25,52.7,17.8,29.39
Austria,35.15,35.5,34.8,23.72
Czech Republic,33.2,37.4,29,25.62
Estonia,33.05,41.2,24.9,26.47
Laos,32.85,56.6,9.1,14.26
Andorra,32.5,37.2,27.8,
Georgia,31.7,57.7,5.7,15.54
Ukraine,31.7,49.4,14,22.05
Germany,30.35,32.4,28.3,25.77
Israel,30.25,41.2,19.3,20.31
Tonga,30.15,47.3,13,29.23
Lithuania,30.15,38.1,22.2,22.41
Samoa,29.95,41,18.9,7.19
Romania,29.8,36.9,22.7,29.51
Albania,29.4,51.2,7.6,26
Spain,29.2,31.3,27.1,23.77
Slovakia,28.65,39.7,17.6,26.4
Belarus,28.4,46.2,10.6,20.49
Hungary,28.4,32,24.8,48.21
Bahrain,28.2,48.8,7.6,14.22
Poland,28.05,32.4,23.7,36.9
Lesotho,27.75,55.1,0.4,2.97
France,27.7,29.8,25.6,27.8
Kyrgyzstan,27,50.4,3.6,12.82
South Korea,27,49.8,4.2,22.91
Armenia,26.9,52.3,1.5,33.24
Kazakhstan,26.6,43.9,9.3,24.31
Mongolia,26.5,47.7,5.3,22.92
Turkey,25.95,39.5,12.4,29.83
Seychelles,25.9,43,8.8,13.23
Philippines,25.75,43,8.5,15.82
Fiji,25.55,38.7,12.4,5.64
Moldova,25.55,45.7,5.4,20.48
Namibia,25.15,38.9,11.4,3.99
Egypt,25.1,49.9,0.3,7.59
Netherlands,25.05,26.2,23.9,32.61
Malta,24.95,29.7,20.2,20.9
China,24.7,47.6,1.8,36.21
Vietnam,24.2,47.1,1.3,23.8
Nepal,24.1,37.1,11.1,13.17
Italy,24,28.3,19.7,22.93
Argentina,23.95,29.5,18.4,18.93
Mauritania,23.85,44,3.7,1.46
Bolivia,23.8,30.5,17.1,4.55
Luxembourg,23.6,25.8,21.4,25.76
Azerbaijan,23.45,46.5,0.4,12.64
Cambodia,23.45,44.1,2.8,13.73
Morocco,23.4,45.4,1.4,12.76
Switzerland,23.3,26.9,19.7,20.69
Belgium,23.25,26.5,20,30.46
Uruguay,23.05,26.7,19.4,28.05
Portugal,22.6,31.5,13.7,19.36
Republic of the Congo,22.45,43.2,1.7,1.63
Pakistan,22.45,41.9,3,5.88
Cameroon,22.35,43.8,0.9,1.71
Norway,22.25,22.4,22.1,23.64
Malaysia,22.2,43,1.4,19.19
Japan,22.15,33.7,10.6,19.6
Ireland,22.15,22.4,21.9,25.88
Thailand,21.85,41.4,2.3,21.1
Mauritius,21.7,40.1,3.3,9.64
Finland,20.85,23.2,18.5,18.2
Sweden,20.6,20.4,20.8,17.76
Burkina Faso,20.25,36,4.5,2.36
Bangladesh,20.25,39.8,0.7,11.96
Slovenia,20.2,22.3,18.1,28.7
Mali,20,36.8,3.2,2.35
United Kingdom,19.15,19.9,18.4,26.69
Myanmar,19,31.6,6.4,21.34
South Africa,18.95,31.4,6.5,18.31
Mozambique,18.65,31.4,5.9,2.97
Paraguay,18.1,28.3,7.9,14.39
Jamaica,17.9,29.9,5.9,15.26
Honduras,17.7,33.3,2.1,6.14
United States,17.25,19.5,15,26.69
Denmark,17,17.6,16.4,33.1
Zimbabwe,16.65,31.2,2.1,3.92
Singapore,16.5,28,5,22.32
Brunei,16.2,29.3,3.1,25.87
Iceland,16.05,17,15.1,25.17
Niue,15.85,20.3,11.4,
Malawi,15.7,25.4,6,1.15
Tanzania,15.65,27.5,3.8,0.91
Zambia,15.55,26.5,4.6,2.13
Saudi Arabia,15.4,27.9,2.9,5.04
Brazil,15.3,19.3,11.3,13.93
Liberia,15,27.6,2.4,1.65
Canada,14.95,17.7,12.2,29.64
Australia,14.9,16.7,13.1,20.32
Comoros,14.55,23.1,6,2.47
Sri Lanka,14.4,28.4,0.4,5.64
Dominican Republic,14.1,18.8,9.4,12.89
Mexico,13.7,20.8,6.6,6.53
Costa Rica,13.4,18.5,8.3,6.82
Kenya,13.35,24.6,2.1,2.67
Uzbekistan,13.1,24.9,1.3,6.73
Cape Verde,12.85,22.2,3.5,2.33
Haiti,12.3,22.1,2.5,7.55
Senegal,12.05,23.4,0.7,1.86
India,11.15,20.4,1.9,8.37
Colombia,11.1,16,6.2,14.19
Iran,11.1,21.5,0.7,8.6
Oman,11,21,1,7.05
Eswatini,10.6,19,2.2,
Uganda,9.65,16.4,2.9,2.94
Niger,9.4,18.6,0.2,0.81
Benin,9.35,17.7,1,0.97
Nigeria,9.25,17.4,1.1,1.16
Ecuador,8.65,14,3.3,6.73
Barbados,7,13.1,0.9,8.91
Ghana,6.75,13.1,0.4,2.43
Panama,6.6,10.6,2.6,8.87
Ethiopia,4.7,8.9,0.5,3.34
